Training Progress in cuda
Epoch 10/5000, Loss: 1.3524512575893868, CPU Load : 49.1 
Epoch 1090/5000, Loss: 0.0008243091181545268, CPU Load : 50.6 
Epoch 1100/5000, Loss: 0.0005699406303791897, CPU Load : 50.6 
Epoch 1110/5000, Loss: 0.005104035710512728, CPU Load : 50.6 
Epoch 1120/5000, Loss: 0.0007430997605452587, CPU Load : 51.1 
Epoch 1130/5000, Loss: 0.0006725984374763978, CPU Load : 52.4 
Epoch 1140/5000, Loss: 0.0009397524366405134, CPU Load : 50.6 
Epoch 1150/5000, Loss: 0.000526452068897481, CPU Load : 50.6 
Epoch 1160/5000, Loss: 0.0006107733799314989, CPU Load : 51.7 
Epoch 1170/5000, Loss: 0.000687486634777132, CPU Load : 52.3 
Epoch 1180/5000, Loss: 0.00037898649724211727, CPU Load : 51.3 
Epoch 1190/5000, Loss: 0.0005017525390274652, CPU Load : 51.3 
Epoch 1200/5000, Loss: 0.00043602749624036864, CPU Load : 51.5 
Epoch 1208/5000, Loss: 0.00016267630940646773, CPU Load : 51.4
Training stopped by Keyboard Interruption.
